Number of Likes,Number of Comments,Number of Shares,Hashtags,Category,Description,Time of Post,Duration
2476,375,465,ai,Hackathon,Join our hackathon and showcase your skills!,2024-01-18 11:13:50,93
1114,73,431,"programming, dev, ai",Seminar,Learn from industry experts in our seminar!,2024-02-03 17:05:50,33
1632,489,279,"machinelearning, dataanalysis, ai",Seminar,Learn from industry experts in our seminar!,2024-01-21 10:32:50,53
2328,296,172,"ai, dataanalysis",Meetup,Connect with like-minded professionals at our meetup!,2024-01-23 10:21:50,76
2127,592,350,machinelearning,Workshop,Join our workshop for hands-on learning!,2024-01-18 00:01:50,95
4920,541,41,machinelearning,Conference,Don't miss out on our conference sessions!,2024-01-20 06:35:50,44
4873,267,286,"python, ai",Seminar,Learn from industry experts in our seminar!,2024-02-08 15:15:50,61
4766,649,247,"machinelearning, dev, dataanalysis",Seminar,Learn from industry experts in our seminar!,2024-01-14 19:13:50,79
3572,668,288,"ai, dev",Conference,Don't miss out on our conference sessions!,2024-01-13 12:32:50,101
3530,970,164,machinelearning,Workshop,Join our workshop for hands-on learning!,2024-01-12 23:51:50,107
1657,376,95,machinelearning,Hackathon,Join our hackathon and showcase your skills!,2024-02-03 08:25:50,45
503,775,500,dataanalysis,Conference,Don't miss out on our conference sessions!,2024-01-20 06:09:50,54
4233,511,260,machinelearning,Conference,Don't miss out on our conference sessions!,2024-02-03 23:28:50,69
1659,337,228,python,Workshop,Join our workshop for hands-on learning!,2024-01-19 04:01:50,49
201,272,259,dataanalysis,Conference,Don't miss out on our conference sessions!,2024-01-13 12:24:50,65
1280,996,98,python,Seminar,Learn from industry experts in our seminar!,2024-01-24 22:25:50,46
3301,707,127,"ai, machinelearning, dev",Meetup,Connect with like-minded professionals at our meetup!,2024-02-05 23:07:50,85
579,578,260,ai,Meetup,Connect with like-minded professionals at our meetup!,2024-01-14 14:03:50,60
4185,205,474,dataanalysis,Webinar,Tune in to our webinar for expert insights!,2024-01-27 17:49:50,32
379,483,462,"ai, dev, programming",Webinar,Tune in to our webinar for expert insights!,2024-02-08 21:10:50,114
1177,755,118,python,Workshop,Join our workshop for hands-on learning!,2024-01-26 01:32:50,108
4430,162,378,python,Seminar,Learn from industry experts in our seminar!,2024-02-06 08:21:50,57
712,928,498,machinelearning,Seminar,Learn from industry experts in our seminar!,2024-01-11 21:20:50,65
1405,689,458,ai,Workshop,Join our workshop for hands-on learning!,2024-01-15 11:59:50,100
1759,826,26,python,Conference,Don't miss out on our conference sessions!,2024-02-08 08:10:50,92
2570,165,279,"dev, dataanalysis",Meetup,Connect with like-minded professionals at our meetup!,2024-02-08 18:42:50,111
2321,928,11,dev,Seminar,Learn from industry experts in our seminar!,2024-01-28 23:56:50,64
4368,453,485,machinelearning,Conference,Don't miss out on our conference sessions!,2024-02-09 06:10:50,32
247,50,500,"ai, dev, python",Conference,Don't miss out on our conference sessions!,2024-01-27 07:16:50,110
4570,64,212,dev,Workshop,Join our workshop for hands-on learning!,2024-01-31 01:22:50,73
4285,636,316,ai,Seminar,Learn from industry experts in our seminar!,2024-02-05 03:14:50,59
4962,389,298,"ai, dev",Workshop,Join our workshop for hands-on learning!,2024-02-09 10:31:50,39
1569,301,11,"programming, dataanalysis, machinelearning",Webinar,Tune in to our webinar for expert insights!,2024-01-29 01:46:50,79
